2,The phonological form of lexical items modulates the encoding of challenging second-language sound contrasts.,"The present study investigated whether the ability to encode the sounds of difficult second-language (L2) contrasts into novel nonnative lexical representations is modulated by the phonological form of the words to be learned. In 3 experiments, German learners of English were trained on word-picture associations with either novel minimal pairs only differing in the difficult /ε/-/æ/ contrast (Experiments 1 and 2; e.g., tendek-tandek) or pairs that additionally differed in their second syllables (Experiment 3; e.g., tenzer-tandek). Word recognition was assessed by means of a visual-world eye-tracking task. We asked whether learners would be more successful at encoding a distinction between the 2 vowels in the minimal-pair than in the nonminimal-pair items because of the central role of the contrast for accurate word learning with minimal pairs. Results from eye-fixation analyses at test showed that learners recognized /æ/-items faster than /ε/-items when they were minimal pairs and these pairs had already appeared together on the screen on a number of training trials (Experiment 1 vs. 2). This asymmetry could not be replicated with nonminimal pairs (Experiment 3). In line with previous studies, the asymmetry in Experiment 2 is taken as evidence of lexical separation for /ε/ and /æ/. Accordingly, we argue that exposure to the minimal-pair stimuli highlighted the challenging distinction by enhancing listeners’ attention to the critical sounds and conclude that the encoding of difficult L2 contrasts into the lexicon is more likely when the phonological form of the words emphasizes relevant phonological differences that may otherwise remain unnoticed. (PsycInfo Database Record (c) 2020 APA, all rights reserved)"
1,Structural variation in the gut microbiome associates with host health,"The authors systematically characterize structural variation in the genomes of gut microbiota and show that they are associated with bacterial fitness and with host risk factors, and that examining genes coded in these regions facilitates investigation of mechanisms that may underlie these associations."
3,Measuring mental health following traumatization: Psychometric analysis of the Kuwait Raha Scale using a random national household data set.,"The authors report on the psychometric properties of the Kuwait Raha Scale (KRS), a measure developed to assess well-being among Kuwaitis. Specific aims of the study were to (a) evaluate competing models of the latent structure of the KRS using exploratory factor analysis and identify the best model, (b) compare the model developed from a nationally representative sample with the initial model reported with Kuwaiti undergraduate students, and (c) assess the discriminant validity of the KRS with the General Health Questionnaire (GHQ). Factor analysis suggested that a 5-factor model best suited the data, whereas the development of the KRS indicated a 4-factor model. Differences in the latent structure found between the current study and the original examination of the KRS factor structure may be attributed to the demographics of the samples used in the 2 studies. Whereas the earlier study used a sample of undergraduate college students, the current study acquired a nationally representative sample of the Kuwaiti population. Discriminant validity of the KRS with the GHQ indicated that the KRS and the GHQ measure different dimensions of health. Implications for theory and research are discussed, with particular attention to overcoming the challenges confronting the meaning and measurement of well-being in developing countries and stimulating interdisciplinary research. (PsycINFO Database Record (c) 2016 APA, all rights reserved)"
2,On the frontlines: Protecting low-wage workers during COVID-19.,"An examination of the trajectory of the coronavirus disease (COVID-19) pandemic and its subsequent economic impacts has revealed that this crisis will impact low-wage workers more severely than all others. The present commentary highlights the unique factors associated with low-wage work that make these workers particularly vulnerable to the effects of the pandemic, identifies potential adverse effects on the mental health of this population, and provides recommendations to maintain the safety, wellbeing, and dignity of low-wage workers. (PsycInfo Database Record (c) 2020 APA, all rights reserved)"
2,COVID-19 emergency in the hospital: How the clinical psychology unit is responding.,"The present commentary describes the main care services implemented by the clinical psychology unit of an Italian hospital to cope with the COVID-19 emergency outbreak. The unit’s main goal has been to support and protect health care professionals, relatives of hospitalized patients, and patients themselves from further psychological distress. Details and insights are shared. (PsycInfo Database Record (c) 2020 APA, all rights reserved)"
3,Motherhood and associative moral stigma: The moral double bind.,"Past research shows that mothers of children with disabilities are a highly stigmatized group. In particular, they experience blame and shame through their connection to a stigmatized child. Mothers’ associative stigma is therefore distinctly moral in nature. Through in-depth interviews with parents of children with physical and cognitive disabilities (N = 36) we identify 2 realms of maternal moral vulnerability: child rearing and gestation. The former represents parenting practices of value transmission, social development, discipline, and behavioral control. The latter represents a physiological connection between mother and child. The distinction between rearing and gestation, and the ways that they intersect, provide conceptual clarity for the multiple and complex ways that stigma manifests for mothers of children with disabilities, and the strategies available to manage this stigma. We conclude that associative stigma is morally fraught for mothers of children with disabilities, creating a moral double bind in which mothers are culturally culpable in both behavior and body. (PsycINFO Database Record (c) 2016 APA, all rights reserved)"
1,Exercise During Pregnancy and Type of Delivery in Nulliparae,"Objective: To assess the association between participation in aerobic exercise during the first two trimesters of pregnancy and type of delivery in nulliparous women. Design: Nonexperimental, retrospective. Setting: A large metropolitan area in the Participants: 137 nulliparous women. Outcome Measures: Method of delivery. Results: An unadjusted odds ratio showed that sedentary women (n=93) were 2.05 times more likely to deliver via cesarean section than active women (n= 44), but this relationship was not statistically significant. Through logistic regression analysis with control for the mother's prepregnancy exercise program, age, use of epidural anesthesia, change in prepregnancy to delivery body mass index, labor length, whether labor was induced, and the hospital of birth, the odds of cesarean delivery were found to be 4.5 times greater for sedentary women than for active women. Conclusion: Regular participation in physical activity during the first two trimesters of pregnancy may be associated with reduced risk for cesarean delivery in nulliparous women."
2,Children’s self-blame appraisals about their mothers’ depressive symptoms and risk for internalizing symptoms.,"Maternal depressive symptoms are a robust predictor of children’s risk for internalizing symptoms, yet not all children are negatively affected by exposure to their mothers’ symptoms. The present study tested children’s self-blame appraisals as a moderator of the association between maternal depressive symptoms and children’s internalizing symptoms, controlling for children’s negative attributional style. We hypothesized that the relation between maternal depressive symptoms and children’s internalizing symptoms would be stronger for children who blamed themselves more for their mothers’ symptoms. Participants were 129 mother–child dyads (M child age = 13.63, SD = 2.2; 52.7% female; 38.8% White, 31% African American, 22.5% Latinx/Hispanic) recruited from the community. Results indicated that maternal depressive symptoms were associated with higher levels of children’s internalizing symptoms for children who reported higher, but not lower, levels of self-blame appraisals. Results were consistent using mothers’ or children’s reports of their own and each other’s symptoms. The findings highlight the importance of assessing children’s appraisals about their mothers’ depressive symptoms, and suggest that preventive interventions should target children who endorse higher levels of self-blame appraisals. Furthermore, children’s self-blame appraisals about mothers’ depressive symptoms should be considered as a target of treatment for child internalizing disorders. (PsycInfo Database Record (c) 2020 APA, all rights reserved)"
3,Environment dominates over host genetics in shaping human gut microbiota,"Human gut microbiome composition is shaped by multiple factors but the relative contribution of host genetics remains elusive. Here we examine genotype and microbiome data from 1,046 healthy individuals with several distinct ancestral origins who share a relatively common environment, and demonstrate that the gut microbiome is not significantly associated with genetic ancestry, and that host genetics have a minor role in determining microbiome composition. We show that, by contrast, there are significant similarities in the compositions of the microbiomes of genetically unrelated individuals who share a household, and that over 20% of the inter-person microbiome variability is associated with factors related to diet, drugs and anthropometric measurements. We further demonstrate that microbiome data significantly improve the prediction accuracy for many human traits, such as glucose and obesity measures, compared to models that use only host genetic and environmental data. These results suggest that microbiome alterations aimed at improving clinical outcomes may be carried out across diverse genetic backgrounds."
3,"From defiance to reliance: Spiritual virtue as a pathway towards desistence, humility, and recovery among juvenile offenders.","This study examined the impact of two “spiritual virtues”—service to others and the spiritual experience of love—on sobriety, character development (humility), and recidivism. We control for conduct disorder and other comorbid conditions, including defiant behaviors. One hundred ninety-five adolescents with substance dependency court-referred to residential treatment were assessed at intake, discharge, and 12 months posttreatment. Higher service to others predicted reduced relapse and greater humility, with or without the experience of spiritual love. Defiance was associated with higher incarceration, but the combination of service and love predicted lower incarceration and mediated the impact of defiance. Survival analysis demonstrated that youths with low service, with or without high love, were more likely to relapse than high helpers with high love. Spiritual virtue appears to be a promising pathway for recovery and desistence, even for youthful offenders deemed the most difficult to rehabilitate. (PsycINFO Database Record (c) 2019 APA, all rights reserved)"
